regionsCode,regions,cx,cy,year,income
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,1997,9312.27
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,1998,9563.4
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,1999,10042.93
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2000,10458.93
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2001,10820.93
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2002,11098.53
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2003,11457.93
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2004,11819.53
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2005,12110.73
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2006,12523.73
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2007,13062.53
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2008,13197.93
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2009,13545.6
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2010,13629.4
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2011,13879.87
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2012,14302.6
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2013,14691.47
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2014,15123.6
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2015,15811.07
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2016,15914.73
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2017,16411.6
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2018,16993.27
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2019,17493.27
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2020,17704.2
E12000003,Yorkshire and The Humber,447770.7542187091,454521.5652032963,2021,18138.07
E12000004,East Midlands,479765.65390188433,337139.08003495267,1997,9967.59
